Dim.Class,Int/Ext,Longitude (°),Latitude (°),start,end,Depth (%wt),Distance (m),Girth Weld No.
Pitting,Ext,26.10984,41.35045,286.5,281.5,16,6676.25,5490
Pitting,Ext,26.11024,41.35045,308.5,304.5,16,6676.8,5490
Pitting,Ext,26.1086,41.35047,311.5,307.5,9,6676.89,5490
Pitting,Ext,26.10909,41.35047,311.5,307.5,16,6677.17,5490
Pitting,Ext,26.1081,41.35051,311.5,307.5,19,6677.31,5490
Pitting,Ext,26.10838,41.35049,292,287,13,6678.05,5490
Pitting,Ext,26.11101,41.35044,314.5,309.5,11,6678.49,5490
Pitting,Int,26.10382,41.3509,280.5,276.5,5,6679.73,5490
Pitting,Int,26.10374,41.35091,317.5,312.5,8,6688.61,5500
Pitting,Ext,26.10387,41.35088,272,268,15,6688.77,5500
Pitting,Int,26.10393,41.35086,311.5,307.5,17,6688.79,5500
Pitting,Ext,26.10397,41.35086,313.5,310.5,8,6689.01,5500
Pitting,Ext,26.10294,41.35092,284,281,13,6872.24,5640
Pitting,Ext,26.10274,41.35094,310,306,20,6872.59,5640
Pitting,Ext,26.10268,41.35094,311.5,307.5,12,6872.67,5640
Pitting,Ext,26.10257,41.35096,310.5,305.5,9,6872.78,5640
General,Ext,26.10279,41.35093,123.5,115.5,17,7015.25,5760
Pitting,Ext,26.10545,41.35074,207.5,203.5,17,7016.62,5760
General,Ext,26.10525,41.35076,301.5,294.5,12,7017.17,5760
General,Ext,26.10504,41.35078,323.5,317.5,11,7017.34,5760
Pitting,Ext,26.10563,41.35073,337.5,331.5,7,7017.38,5760
General,Ext,26.10629,41.35065,75.5,67.5,11,7018.64,5760
General,Ext,26.1066,41.35062,6.5,1.5,19,7047.81,5780
Pitting,Ext,26.107,41.35058,203,199,7,7048.61,5780
Pitting,Ext,26.10693,41.35059,258,251,16,7048.64,5780
Circumferential Grooving,Ext,26.10685,41.3506,338.5,311.5,14,7061.7,5800
Pitting,Ext,26.10711,41.35057,278.5,275.5,5,7065.72,5800
Pitting,Int,26.10707,41.35057,309,304,9,7075.51,5810
General,Ext,26.10706,41.35058,36.5,31.5,21,7132.62,5850
Pitting,Ext,26.10705,41.35058,275.5,270.5,14,7202.43,5910
Pitting,Ext,26.1071,41.35057,317,312,19,7203.37,5910
Pitting,Ext,26.10708,41.35057,315.5,311.5,19,7204.18,5910
Pitting,Int,26.107,41.35058,310,305,20,7213.22,5920
Pitting,Int,26.106,41.35069,317,313,21,7214.07,5920
General,Int,26.11144,41.35045,329.5,266.5,18,7249.5,5950
Pitting,Ext,26.10445,41.35078,289.5,284.5,20,7252.94,5950
Pitting,Ext,26.10461,41.35079,339.5,335.5,8,7316.23,6000
General,Int,26.10469,41.35078,358.5,353.5,8,7317.21,6000
